cat__alert_green,cat__alert_orange,cat__alert_red,cat__alert_yellow,cat__net_ak,cat__net_at,cat__net_ci,cat__net_duputel,cat__net_hv,cat__net_nc,cat__net_nn,cat__net_official,cat__net_pt,cat__net_us,cat__net_uw,cat__magType_Mi,cat__magType_mb,cat__magType_md,cat__magType_ml,cat__magType_ms,cat__magType_mw,cat__magType_mwb,cat__magType_mwc,cat__magType_mww,cat__continent_Africa,cat__continent_Asia,cat__continent_Europe,cat__continent_North America,cat__continent_Oceania,cat__continent_South America,cat__country_Afghanistan,cat__country_Algeria,cat__country_Antarctica,cat__country_Argentina,cat__country_Azerbaijan,cat__country_Bolivia,cat__country_Botswana,cat__country_Brazil,cat__country_Canada,cat__country_Chile,cat__country_Colombia,cat__country_Costa Rica,cat__country_Ecuador,cat__country_El Salvador,cat__country_Fiji,cat__country_Greece,cat__country_Guatemala,cat__country_Haiti,cat__country_Iceland,cat__country_India,cat__country_Indonesia,cat__country_Iran,cat__country_Italy,cat__country_Japan,cat__country_Kyrgyzstan,cat__country_Martinique,cat__country_Mexico,cat__country_Mongolia,cat__country_Mozambique,cat__country_Myanmar,cat__country_Nepal,cat__country_New Zealand,cat__country_Nicaragua,cat__country_Pakistan,cat__country_Panama,cat__country_Papua New Guinea,cat__country_People's Republic of China,cat__country_Peru,cat__country_Philippines,cat__country_Russia,cat__country_Russian Federation (the),cat__country_Saudi Arabia,cat__country_Solomon Islands,cat__country_South Georgia and the South Sandwich Islands,cat__country_Taiwan,cat__country_Tajikistan,cat__country_Tanzania,cat__country_Tonga,cat__country_Trinidad and Tobago,cat__country_Turkey,cat__country_Turkiye,cat__country_Turkmenistan,cat__country_United Kingdom of Great Britain and Northern Ireland (the),cat__country_United States of America,cat__country_Vanuatu,cat__country_Venezuela,cat__Magnitude_Category_High,cat__Magnitude_Category_Severe,cat__Depth_Category_Deep,cat__Depth_Category_Intermediate,cat__Depth_Category_Shallow,num__magnitude,num__cdi,num__mmi,num__tsunami,num__sig,num__nst,num__dmin,num__gap,num__depth,num__latitude,num__longitude,num__Year,num__Month,num__Day,num__Hour,num__Energy_Index,num__Tsunami_Flag,num__High_Alert,num__Years_Ago,Damage_Level
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0050719430479875,1.0203445370161106,-1.414245745922276,-0.6938886664887108,-0.6328988185735,-0.3344880755656776,2.920585691224031,0.1669301258154766,0.9051244586674924,-0.6835820541387221,0.9851121497864306,1.5822527942095306,0.40483048612358047,0.08382234468468379,0.01318719834153867,-0.10639768971081662,-0.6938886664887108,-0.19601428307463395,-1.5822527942095375,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0050719430479875,1.320887846888308,-0.018838004509078264,-0.6938886664887108,-0.24171918055829422,-0.4265666769126195,-0.2153219353326426,0.7815914265050569,-0.03736632388991367,0.31925039611212,-1.1890104978447944,1.5822527942095306,0.11792014868659918,0.4380012658875726,-1.7257840115317058,-0.10639768971081662,-0.6938886664887108,-0.19601428307463395,-1.5822527942095375,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.7767243472174793,1.0203445370161106,-0.7165418752156771,-0.6938886664887108,0.16935094752548138,-0.5186452782595615,0.24555707103264254,0.28986238595339264,0.7400424882490886,-1.5967939189492475,-1.0378142089496356,1.5822527942095306,0.11792014868659918,0.20188198508564673,-1.2910412090633947,-0.10529653060662172,-0.6938886664887108,-0.19601428307463395,-1.5822527942095375,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.593361227765576,0.719801227143913,-0.018838004509078264,1.4411533842457842,0.04006276207977777,-0.08755000831706056,-0.1052900887867944,0.6176817463211688,-0.32154838897822946,1.8808732258845755,-1.807071977665219,1.5822527942095306,0.11792014868659918,0.08382234468468379,-0.8562984065950836,-0.07911762901624526,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8217088235960842,-1.083458632089272,-0.7165418752156771,1.4411533842457842,-0.09254050504402081,-0.4809767595267216,-0.1185851209819329,6.223392808610141,-0.4100474382606307,1.8848401680074314,-1.8078980752027516,1.5822527942095306,0.11792014868659918,0.08382234468468379,-0.8562984065950836,-0.06676242065595232,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7767243472174793,0.4192579172717156,-1.414245745922276,1.4411533842457842,-0.15221197524973018,-0.4140105040016729,0.6412856419431494,0.6586591663671407,-0.49417928011582163,0.5899340908133595,-0.9588018118959037,1.5822527942095306,0.11792014868659918,-0.6245354977210938,1.172501338257035,-0.10529653060662172,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.09168155972595068,0.11871460739951803,-1.414245745922276,1.4411533842457842,-0.35443195761352303,-0.24240947421873565,0.025975973759129772,0.08497528572353256,1.1808092077284338,-0.8327781463274979,-1.9283294698238633,1.5822527942095306,0.11792014868659918,-1.5690126209287973,-0.2766413366373354,-0.09844051274208883,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,2
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.593361227765576,1.320887846888308,-0.018838004509078264,1.4411533842457842,-0.14558181189354025,-0.45586441370482833,0.7069186732161112,0.12595270576950457,0.7097014867364029,-1.02546785205645,-1.9476703719654755,1.5822527942095306,-0.1689901887503821,-0.03423729571627915,0.8826728032781609,-0.07911762901624526,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,3
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.7767243472174793,0.719801227143913,-0.018838004509078264,1.4411533842457842,-0.3809526110382827,-0.6023530976658723,0.5008502588517376,4.428581810596566,-0.49417928011582163,0.17181989369393355,-1.0953003777985502,1.5822527942095306,-0.4559005261873634,1.1463591082933502,-1.2910412090633947,-0.10529653060662172,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.36501363193506575,-0.1818287024726795,-1.414245745922276,1.4411533842457842,-0.2350890172021043,-0.40145433109072626,0.8140549448528582,1.437230147240609,-0.29546751800312027,-1.028465598092472,1.0131994660625374,1.5822527942095306,-0.4559005261873634,0.5560609062885356,-1.5808697440422688,-0.08786444669010253,1.4411533842457842,-0.19601428307463395,-1.5822527942095375,2
